question,answer
"How do I submit or report a complaint?","You can submit a complaint using the Samvad-Setu mobile app or web portal by clicking Report Issue, uploading photos or videos, and describing the issue."
"Can I upload photos or videos when submitting a complaint?","Yes, you can attach photos, short videos, and GPS location coordinates directly to your complaint to help authorities identify and inspect the problem quickly."
"Can I submit a complaint anonymously?","Yes, Samvad-Setu allows citizens to report civic grievances anonymously, though providing a phone number helps you receive real-time SMS progress updates."
"What languages can I use to file a grievance?","You can submit complaints in English, Hindi (हिन्दी), or Hinglish. Our multilingual AI automatically processes and routes your grievance."
"How can I check the status of my complaint?","Go to Track Status on the portal or mobile app and enter your grievance ticket ID to see real-time progress and assigned department updates."
"What do the different complaint status labels mean?","Submitted means received, Under Review means initial triage, In Progress means a municipal field crew is dispatched, and Resolved means work is completed."
"How long will it take for my complaint to be resolved?","Standard civic complaints have a 24 to 72 hour SLA deadline. Structural and recurring problems are routed to the engineering and university R&D pipeline."
"What should I do if my complaint is marked resolved but the work is incomplete?","You can reopen the ticket within 7 days using the Reopen Complaint button on your dashboard and upload a photo showing the incomplete work."
"How do I report a drinking water pipeline leakage?","Select Water as the category or report drinking water pipe leak with your exact location. The Water Department will dispatch an emergency repair crew."
"Who do I contact for contaminated or dirty tap water?","Report contaminated water immediately on Samvad-Setu. Emergency safety protocols automatically escalate drinking water contamination to Critical priority."
"What should I do if there is no water supply in my locality?","Submit a grievance under Water Supply. Include your ward number, street name, and how many days water supply has been disrupted."
"How do I request a municipal water tanker during a shortage?","You can request an emergency municipal water tanker by filing a ticket under the Water Department or contacting the municipal water helpline."
"How do I report a power outage or blackout in my area?","Report a power cut under the Energy Department with your transformer code or street address for immediate feeder inspection."
"What should I do if I see sparking wires or a snapped live wire?","Snapped live wires trigger emergency safety escalation. Stay at least 10 meters away and report immediately on Samvad-Setu or call 112."
"Who fixes broken or non-functioning street lights?","Street light repairs are managed by the Energy and Urban Development Departments. Submit the pole number or nearby street landmark on Samvad-Setu."
"How can I resolve faulty or inflated electricity meter bills?","File a billing discrepancy grievance under the Energy Department along with a photo of your meter reading and latest electricity bill copy."
"How do I report dangerous potholes on the main road?","Take a picture of the pothole and upload it under the Urban Development or Public Works Department. GPS tags help road maintenance teams locate it."
"Where do I report damaged footpaths or missing curb ramps?","Report damaged sidewalks, curbs, or broken ramps under Accessibility and Urban Development for pedestrian maintenance."
"Who fixes traffic signals that are malfunctioning or turned off?","Traffic signal repairs are routed to Traffic Police and Municipal Electrical Division. Report the junction name and affected direction."
"How do I complain about illegal road digging or open trenches left unattended?","Report road excavation without safety barriers under Public Works Department (PWD). Contractors are penalized for leaving hazardous trenches open."
"How do I complain about poor sanitation or doctor unavailability at a government health center?","File a complaint under Healthcare or Health Department specifying the Primary Health Center (PHC) or Community Health Center (CHC) name."
"What should I do if government hospital medicines are out of stock?","Report medicine stockouts under the Health Department. The district civil surgeon office investigates supply chain gaps."
"How do I report stray dog bites or animal menace?","Submit a report under Health and Municipal Animal Control. Anti-rabies medical aid and animal birth control teams will be notified."
"How can I request mosquito fogging in waterlogged neighborhoods?","File a sanitation and vector-borne disease prevention request under the Health Department for malaria and dengue prevention."
"How do I report infrastructure damage in a government school?","Upload photos of damaged classrooms, leaking roofs, or broken boundary walls under the Education Department."
"Who do I contact regarding non-functional toilets or drinking water in schools?","Report school water and sanitation issues under Education. These are prioritized under the Swachh Vidyalaya municipal initiative."
"Where can I register grievances regarding mid-day meal quality?","Mid-day meal irregularities can be reported under the Education Department. District education officers conduct immediate spot inspections."
"How do I check scholarship disbursement status for students?","Grievances regarding state student scholarships should be submitted under Education or Welfare along with the application reference ID."
"Who do I contact if the daily municipal garbage van does not arrive?","File a missed collection grievance under Environment or Sanitation Department with your ward number and colony name."
"How do I report an overflowing community dustbin or garbage dump?","Take a photo of the overflowing dustbin and report under Environment. Sanitation trucks are dispatched within 24 hours."
"Where do I complain about blocked sewage drains and foul odor?","Report clogged open drains or overflowing sewer lines under Public Health Engineering (PHED) and Sanitation."
"How do I report open burning of plastic and garbage?","Waste burning produces toxic pollution. Report the exact location under the Environment Department for municipal inspection and fines."
"How do I apply for an income, caste, or residential certificate?","Certificate applications can be submitted online via the Jharkhand Jharsewa portal or at your local Pragya Kendra and CSC center."
"Where do I complain about delays in issuing government certificates?","If your certificate exceeds the Right to Service (RTS) timeline, lodge a grievance under Public Administration on Samvad-Setu."
"How can seniors apply for or check the status of old age pensions?","Pension applications and payment delay grievances are routed through Rural Livelihoods and Social Welfare Departments."
"How do I update or link my Aadhaar card with municipal services?","Visit the nearest municipal civic center or Aadhaar Seva Kendra. Inquiries can be submitted under Public Administration."
"What happens after I submit a complaint on Samvad-Setu?","Our AI classifies the category, checks for duplicates, assesses severity, and routes it to the designated department with an SLA timer."
"How are emergency complaints handled differently?","Emergency keywords like fire, collapse, or contamination trigger an immediate safety override to Critical severity and alert senior officials."
"What is the R&D pipeline for structural civic problems?","Recurring structural issues that routine repairs cannot fix are assigned to engineering universities for student research and CSR-funded prototypes."
"Can I escalate a complaint if it is not resolved within the SLA?","Yes, tickets exceeding the SLA are automatically escalated to the District Municipal Commissioner and relevant department head."

"How do I report dangerous overgrown trees or fallen branches blocking roads?","Report fallen trees or hazardous branches under Environment and Horticulture Department for immediate road clearance and pruning."
"Where can I report illegal late-night loudspeaker or industrial noise pollution?","Lodge a noise pollution complaint under Environment and Public Administration. Nighttime restrictions between 10 PM and 6 AM are strictly enforced."
"How do I complain about dirty or unhygienic public community toilets?","Report unhygienic community or public toilets under Sanitation and Urban Development with the facility location or landmark."
"How do I request emergency ambulance services or report ambulance delays?","Dial 108 for immediate medical emergency ambulance service. Grievances regarding ambulance delays can be tracked under the Health Department."
"How can I request wheelchair ramps or tactile paving in government offices?","Submit a grievance under Accessibility Department requesting barrier-free access ramps and tactile paving for persons with disabilities (Divyangjan)."
"Where can farmers get information about crop damage compensation and subsidies?","Inquire about crop insurance, PM-Kisan, and seed subsidies under the Agriculture Department or contact the District Agriculture Officer."
"How do I register a complaint regarding delayed MGNREGA wage payments?","Submit your Job Card number and gram panchayat details under Rural Livelihoods Department. Wage delays are audited by the District Program Coordinator."
"How do I report biometric failure or ration denial at Fair Price Shops?","Report food grain distribution denial or dealer irregularities under Public Administration. Ration card holders can also call the toll-free PDS helpline 1967."
"How do I apply for or correct errors in birth and death certificates?","Birth and death certificate applications and corrections are processed under Public Administration at your local municipal ward office or through the state civil registration portal."
"What happens if multiple citizens report the same civic issue?","Our AI duplicate detection engine clusters similar complaints into a single ticket, boosting its priority score so authorities can resolve it faster."
